name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,2006,27.500.000,-12.500.000,"(27.500000, -12.500000)"
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1973,20.600.000,44.883.330,"(20.600000, 44.883330)"
Allende,2278,Valid,CV3,2000000,Fell,1969,26.966.670,-105.316.670,"(26.966670, -105.316670)"
Armanty,2335,Valid,"Iron, IIIE",28000000,Found,1898,47.000.000,88.000.000,"(47.000000, 88.000000)"
Bacubirito,4919,Valid,"Iron, ungrouped",22000000,Found,1863,26.200.000,-107.833.330,"(26.200000, -107.833330)"
Bendegó,5015,Valid,"Iron, IC",5360000,Found,1784,-10.116.670,-39.200.000,"(-10.116670, -39.200000)"
Bitburg,5062,Valid,"Iron, IAB complex",1500000,Found,1805,49.966.670,6.533.330,"(49.966670, 6.533330)"
Brenham,5136,Valid,"Pallasite, PMG-an",4300000,Found,1882,37.582.500,-99.163.610,"(37.582500, -99.163610)"
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1992,-14.258.000,-49.159.170,"(-14.258000, -49.159170)"
Campo del Cielo,5247,Valid,"Iron, IAB-MG",50000000,Found,1575,-27.466.670,-60.583.330,"(-27.466670, -60.583330)"
Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000,Found,1891,35.050.000,-111.033.330,"(35.050000, -111.033330)"
Cape York,5262,Valid,"Iron, IIIAB",58200000,Found,1818,76.133.330,-64.933.330,"(76.133330, -64.933330)"
Casas Grandes,5285,Valid,"Iron, IIIAB",1545000,Found,1867,30.400.000,-107.800.000,"(30.400000, -107.800000)"
Charcas,5326,Valid,"Iron, IIIAB",1400000,Found,1804,23.083.330,-101.016.670,"(23.083330, -101.016670)"
Chupaderos,5363,Valid,"Iron, IIIAB",24300000,Found,1852,27.000.000,-105.100.000,"(27.000000, -105.100000)"
Coahuila,5387,Valid,"Iron, IIAB",2100000,Found,1837,28.700.000,-102.733.330,"(28.700000, -102.733330)"
Cranbourne,5463,Valid,"Iron, IAB-MG",8600000,Found,1854,-38.100.000,145.300.000,"(-38.100000, 145.300000)"
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,2009,22.018.330,26.087.780,"(22.018330, 26.087780)"
Ghubara,10911,Valid,L5,1750000,Found,1954,19.227.780,56.142.780,"(19.227780, 56.142780)"
Gibeon,10912,Valid,"Iron, IVA",26000000,Found,1836,-25.500.000,18.000.000,"(-25.500000, 18.000000)"
